returnModelSpace	从族编辑器返回
YJKDisplay_dspDrawMenu9	水平力作用下各层平均侧移简图
YJKDisplay_dspDrawMenu8	底层柱、墙最大组合内力简图
YJKDisplay_dspDrawMenu14	吊车荷载下预组合内力简图
YJKDisplay_dspDrawMenuDZX3D	等值线
YJKDisplay_dspDrawPJ3D	三维配筋简图
YJKDisplay_dspDrawInquire3D	三维构件查询简图
YJKDisplay_dspDrawProp3D	三维构件属性简图
YJKDisplay_dspDrawMenu16	剪力墙组合配筋修改及验算简图
YJKDisplay_dspResetProData	多塔工程分塔模型切换
YJKDisplay_dspResetSQKJData	少墙框架模型切换
YJKDisplay_dspResetPortalData	门刚子模型切换
YJKDisplay_dspResetXNSJData	性能设计子模型切换
YJKDisplay_dspResetPoolData	水池设计子模型切换
YJKDisplay_dspResetWTFData	风机基础设计子模型切换
YJKDisplay_dspResetUGSData	中航油设计子模型切换
YJKDisplay_dspShowOption	设置
YJKDesign_dsnCompare	<RcImage Name="RCDATA_299" />       </MenuMacro>       <MenuMacro UID="ID_YJKDesign_dsndesignbystdnl">         <Command>YJKDesign_dsndesignbystdnl</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_299" />       </MenuMacro>       <MenuMacro UID="ID_YJKDisplay_dspOpenDir">         <Command>YJKDisplay_dspOpenDir</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_OPEN" />       </MenuMacro>       <MenuMacro UID="ID_yjkdisplay_dspDraw3DBySel">         <Command>yjkdisplay_dspDraw3DBySel</Command>         <HelpString UID="XLS_0000">选择显示，仅适用于三维模型
yjkdisplay_dspdraw3dmodel	基本三维模型
yjkdisplay_dspQueryCom	构件信息
yjkdisplay_dspShowDSNToolsDlg	截面验算
yjkdisplay_dspSearchCom	构件搜索
yjkdisplay_dspOutputDrawingByBatch	批量输出图形结果
yjkdisplay_dspAdjustWordHeightUp	文字放大
yjkdisplay_dspAdjustWordHeightDw	文字缩小
yjkdisplay_Report	送审报告
yjkdesignexport_dsnTop	整体指标计算书
yjkdesignexport_dsnSglReport	单构件计算书
yjkdesignexport_dsnComReport	按楼层输出构件截面验算详细计算书
yjkdesignexport_dsnSglReport_Detail	单构件截面验算详细计算书
yjkdesignexport_dsnProReport	对比ETABS
yjkdesignexport_dsnRigidFrameReport	单榀计算书
yjkdesignexport_dsnContinueElement	竖向连续构件计算书
yjkdesignexport_dsnStructReportPacker_WHTH	武汉天华一键计算书
yjkdesignexport_dsn_wenshi_Report	温室计算书
yjkdesignexport_dsnIsolationReport	隔震分析报告
yjkdesignexport_dsnAntiFireReport	防火计算书
yjkdesignexport_dsnQuantityStatisticsReport	工程量统计
yjkdisplay_dspStatFHArea	防火涂料面积
YJKDisplay_dspDraw2DFrameByTrussID_Plan	结构简图
YJKDisplay_dspDraw2DFrameByTrussID_PJ	配筋简图
YJKDisplay_dspDraw2DFrameByTrussID_Force	内力简图
YJKDisplay_dspDraw2DFrameByTrussID_Disp	位移简图
YJKDisplay_dspDraw2DFrameByTrussID_Load	荷载简图
YJKDisplay_dspDraw2DFrameByTrussID_ComBTRatio	局部稳定验算
YJKDisplay_dspDraw2DFrameByTrussID_CXB	长细比
YJKDisplay_dspDraw2DFrameByTrussID_LCal	计算长度
YJKDisplay_dspDraw2DFrameByTrussID_LCalMu	计算长度系数
YJKDisplay_dspDraw2DFrameByTrussID_ReForce	支座反力
YJKCFTWSSWall_dsnCFTWSSWall_Calculate	冷弯薄壁墙设计
YJKCFTWSSWall_dsnCFTWSSWall_ShowSummary	冷弯薄壁墙显示工程信息
YJKCFTWSSWall_dsnCFTWSSWall_ShowExceed	冷弯薄壁墙显示超限信息
YJKCFTWSSWall_dsnCFTWSSWall_ShowID	冷弯薄壁墙显示编号
YJKCFTWSSWall_dsnCFTWSSWall_ShowShear	冷弯薄壁墙显示设计剪力
YJKCFTWSSWall_dsnCFTWSSWall_ShowRS	冷弯薄壁墙显示设计结果
YJKCFTWSSWall_dsnCFTWSSWall_ShowDetail	冷弯薄壁墙构件信息
yjkdisplay_dspdrawpjbzc	标准层配筋
yjktoAuditPlatform_ExportXDB	导出XDB
yjkdesign_dsnExportDB	导出dsnModel
yjkdesignexport_dsnElementDataExport	构件数据导出
YJKAudit_AuditPara_STR	<RcImage Name="RCDATA_301" />       </MenuMacro>       <MenuMacro UID="ID_YJKAudit_AuditPara_RC">         <Command>YJKAudit_AuditPara_RC</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_301" />       </MenuMacro>       <MenuMacro UID="ID_YJKAudit_RunAudit_All">         <Command>YJKAudit_RunAudit_All</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_507" />       </MenuMacro>       <MenuMacro UID="ID_YJKAudit_RunAudit_STR">         <Command>YJKAudit_RunAudit_STR</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_507" />       </MenuMacro>       <MenuMacro UID="ID_YJKAudit_RunAudit_RC">         <Command>YJKAudit_RunAudit_RC</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_507" />       </MenuMacro>       <MenuMacro UID="ID_YJKAudit_ShowResult_All">         <Command>YJKAudit_ShowResult_All</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_351" />       </MenuMacro>       <MenuMacro UID="ID_YJKAudit_ShowResult_STR">         <Command>YJKAudit_ShowResult_STR</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_351" />       </MenuMacro>       <MenuMacro UID="ID_YJKAudit_ShowResult_STR_Layout">         <Command>YJKAudit_ShowResult_STR_Layout</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_240" />       </MenuMacro>       <MenuMacro UID="ID_YJKAudit_ShowResult_STR_Material">         <Command>YJKAudit_ShowResult_STR_Material</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_CLQD" />       </MenuMacro>       <MenuMacro UID="ID_YJKAudit_ShowResult_STR_Section">         <Command>YJKAudit_ShowResult_STR_Section</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_238" />       </MenuMacro>       <MenuMacro UID="ID_YJKAudit_ShowResult_STR_Load">         <Command>YJKAudit_ShowResult_STR_Load</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_SLABLOAD" />       </MenuMacro>       <MenuMacro UID="ID_YJKAudit_ShowResult_STR_StructDesignResult">         <Command>YJKAudit_ShowResult_STR_StructDesignResult</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_347" />       </MenuMacro>       <MenuMacro UID="ID_YJKAudit_ShowResult_STR_ElementDesignResult">         <Command>YJKAudit_ShowResult_STR_ElementDesignResult</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_REPORT" />       </MenuMacro>       <MenuMacro UID="ID_YJKAudit_ShowResult_STR_ExceedCode">         <Command>YJKAudit_ShowResult_STR_ExceedCode</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_REPORT" />       </MenuMacro>       <MenuMacro UID="ID_YJKAudit_ShowResult_RC">         <Command>YJKAudit_ShowResult_RC</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_351" />       </MenuMacro>       <MenuMacro UID="ID_YJKAudit_ShowResult_RC_Beam">         <Command>YJKAudit_ShowResult_RC_Beam</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_BEAM" />       </MenuMacro>       <MenuMacro UID="ID_YJKAudit_ShowResult_RC_Column">         <Command>YJKAudit_ShowResult_RC_Column</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_COLUMN" />       </MenuMacro>       <MenuMacro UID="ID_YJKAudit_ShowResult_RC_Wall">         <Command>YJKAudit_ShowResult_RC_Wall</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_WALL" />       </MenuMacro>       <MenuMacro UID="ID_YJKAudit_WriteReport_All">         <Command>YJKAudit_WriteReport_All</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_REPORT" />       </MenuMacro>       <MenuMacro UID="ID_YJKAudit_WriteReport_STR">         <Command>YJKAudit_WriteReport_STR</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_REPORT" />       </MenuMacro>       <MenuMacro UID="ID_YJKAudit_WriteReport_RC">         <Command>YJKAudit_WriteReport_RC</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_REPORT" />       </MenuMacro>       <MenuMacro UID="ID_YJKAudit_AuditDTL_Beam_Edit">         <Command>YJKAudit_AuditDTL_Beam_Edit</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_508" />       </MenuMacro>       <MenuMacro UID="ID_YJKAudit_AuditDTL_Beam">         <Command>YJKAudit_AuditDTL_Beam</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_BEAM" />       </MenuMacro>       <MenuMacro UID="ID_YJKAudit_AuditDTL_Col_Edit">         <Command>YJKAudit_AuditDTL_Col_Edit</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_508" />       </MenuMacro>       <MenuMacro UID="ID_YJKAudit_AuditDTL_Col">         <Command>YJKAudit_AuditDTL_Col</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_COLUMN" />       </MenuMacro>       <MenuMacro UID="ID_YJKAudit_AuditDTL_Wall_Edit">         <Command>YJKAudit_AuditDTL_Wall_Edit</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_508" />       </MenuMacro>       <MenuMacro UID="ID_YJKAudit_AuditDTL_Wall">         <Command>YJKAudit_AuditDTL_Wall</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_WALL" />       </MenuMacro>       <MenuMacro UID="ID_YJKAudit_AuditDTL_Slab_Edit">         <Command>YJKAudit_AuditDTL_Slab_Edit</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_508" />       </MenuMacro>       <MenuMacro UID="ID_YJKAudit_AuditDTL_Slab">         <Command>YJKAudit_AuditDTL_Slab</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_SLAB" />       </MenuMacro>       <MenuMacro UID="ID_YJKAudit_AuditDTLSTL_Edit">         <Command>YJKAudit_AuditDTLSTL_Edit</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_508" />       </MenuMacro>       <MenuMacro UID="ID_YJKAudit_AuditDTLSTL">         <Command>YJKAudit_AuditDTLSTL</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_479" />       </MenuMacro>       <MenuMacro UID="ID_YJKAudit_AuditBase_Para">         <Command>YJKAudit_AuditBase_Para</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_301" />       </MenuMacro>       <MenuMacro UID="ID_YJKAudit_AuditBase_Run">         <Command>YJKAudit_AuditBase_Run</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_507" />       </MenuMacro>       <MenuMacro UID="ID_YJKAudit_ShowResult_AllBase">         <Command>YJKAudit_ShowResult_ALLBase</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_351" />       </MenuMacro>       <MenuMacro UID="ID_YJKAudit_ShowResult_Duji">         <Command>YJKAudit_ShowResult_Duji</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_626" />       </MenuMacro>       <MenuMacro UID="ID_YJKAudit_ShowResult_Diliang">         <Command>YJKAudit_ShowResult_Diliang</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_DIJILIANG" />       </MenuMacro>       <MenuMacro UID="ID_YJKAudit_ShowResult_Raft">         <Command>YJKAudit_ShowResult_Raft</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_244" />       </MenuMacro>       <MenuMacro UID="ID_YJKAudit_ShowResult_Dais">         <Command>YJKAudit_ShowResult_Dais</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_629" />       </MenuMacro>       <MenuMacro UID="ID_YJKAudit_ShowResult_Pile">         <Command>YJKAudit_ShowResult_Pile</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_655" />       </MenuMacro>       <MenuMacro UID="ID_YJKAudit_ShowResult_Tiaoji">         <Command>YJKAudit_ShowResult_Tiaoji</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_667" />       </MenuMacro>       <MenuMacro UID="ID_YJKAudit_ShowResult_Pier">         <Command>YJKAudit_ShowResult_Pier</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_242" />       </MenuMacro>       <MenuMacro UID="ID_YJKAudit_ShowResult_Laliang">         <Command>YJKAudit_ShowResult_Laliang</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_TIEBEAM" />       </MenuMacro>       <MenuMacro UID="ID_YJKAudit_ShowResult_Fsb">         <Command>YJKAudit_ShowResult_Fsb</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_244" />       </MenuMacro>       <MenuMacro UID="ID_YJKAudit_adAuditpkpm">         <Command>YJKAudit_adAuditpkpm</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_299" />       </MenuMacro>       <!--YJKAudit End-->       <MenuMacro UID="ID_Masonry_SetPara">         <Command>Masonry_SetPara</Command>         <HelpString UID="XLS_0000">设置砌体参数
Masonry_Show3D	三维显示
Masonry_CalcAll	全部计算
Masonry_CalcQT	只进行砌体计算，不计算底框及砼构件
Masonry_CalcQT_DK	进行砌体计算以及底框计算，不计算砼构件
Masonry_CalcQT_3D	进行砌体计算以及砼构件计算，不计算底框
Masonry_CalcByPara	计算选项
Masonry_ShowWallNo	显示各墙编号
Masonry_ShowLoad	显示各墙荷载信息
Masonry_ShowSeis	显示各墙抗震计算结果
Masonry_ShowShear	显示各墙剪力设计值
Masonry_ShowCompress	显示各墙受压计算结果
Masonry_ShowForceN	显示各墙轴力设计值
Masonry_ShowRatio	显示各墙高厚比验算结果
Masonry_ShowPartPress	显示局部承压计算结果
Masonry_InputPressBlock	输入梁垫
Masonry_SaveDWYFiles	批量输出图形结果
Masonry_ShowMemDLM	<RcImage Name="RCDATA_505" />             </MenuMacro>             <MenuMacro UID="ID_Masonry_ShowMemDLV">                 <Command>Masonry_ShowMemDLV</Command>                 <HelpString UID="XLS_0000"/>                 <RcImage Name="RCDATA_505" />             </MenuMacro>             <MenuMacro UID="ID_Masonry_ShowMemLLM">                 <Command>Masonry_ShowMemLLM</Command>                 <HelpString UID="XLS_0000"/>                 <RcImage Name="RCDATA_505" />             </MenuMacro>             <MenuMacro UID="ID_Masonry_ShowMemLLV">                 <Command>Masonry_ShowMemLLV</Command>                 <HelpString UID="XLS_0000"/>                 <RcImage Name="RCDATA_505" />             </MenuMacro>             <MenuMacro UID="ID_Masonry_MemShowPJRatio">                 <Command>Masonry_MemShowPJRatio</Command>                 <HelpString UID="XLS_0000"/>                 <RcImage Name="RCDATA_PJJT" />             </MenuMacro>           -->       <MenuMacro UID="ID_Masonry_ShowTurnMXF">         <Command>Masonry_ShowTurnMXF</Command>         <HelpString UID="XLS_0000">显示底框层X向地震倾覆力矩分配结果
Masonry_ShowTurnMYF	显示底框层Y向地震倾覆力矩分配结果
Masonry_ShowTurnMXW	显示底框层X风荷载倾覆力矩分配结果
Masonry_ShowTurnMYW	显示底框层Y风荷载倾覆力矩分配结果
Masonry_DKBeamLoad	显示上部砌体传递到托梁上的荷载
Masonry_DKNodeLoad	显示上部砌体传递到托梁端部的荷载
Masonry_TxtOut	显示计算结果左侧菜单
Masonry_JDCalc	进行第二级鉴定计算
Masonry_JDShow	显示第二级鉴定结果
Masonry_JGSet	加固布置
Masonry_JGDel	加固删除
Masonry_JGShow	加固数据显示
Masonry_JGReset	加固重新布置
Masonry_SetCZQ	设置承重墙
Masonry_SetZHQ	设置纵横墙
Masonry_ShowCZQ	显示承重墙
Masonry_ShowZHQ	显示纵横墙
Masonry_ColBar	设置柱钢筋
Masonry_NewWall	设置新增墙
Masonry_SetMat	设置砌体材料强度
Masonry_Test1	<RcImage Name="RCDATA_350" />       </MenuMacro>       <MenuMacro UID="ID_Masonry_Test2">         <Command>Masonry_Test2</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_352" />       </MenuMacro>       <MenuMacro UID="ID_Masonry_Test3">         <Command>Masonry_Test3</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_350" />       </MenuMacro>       <MenuMacro UID="ID_Masonry_Test4">         <Command>Masonry_Test4</Command>         <HelpString UID="XLS_0000"/>         <RcImage Name="RCDATA_352" />       </MenuMacro>       <!--读取-->       <MenuMacro UID="ID_jccad_read">         <Command>jccad_read</Command>         <HelpString UID="XLS_0000">重新读取上部数据
jccad_SetDSource	重新读取的参数选项
jccad_dzzl_showbar	输入和查改地质资料信息
dzzl_showbar_old	输入和查改地质资料信息
jccad_setpara	设置各类基础的设计参数
jccad_setloadzhuhe	设置荷载组合参数
jccad_show_top_load	显示上部荷载
jccad_pt_load_edit	增加或编辑点附加荷载
jccad_line_load_edit	增加或编辑墙、地基梁附加荷载
jccad_load_del	删除附加荷载
jccad_load_customization	荷载编辑
jccad_dj_app	将已定义的独基布置在基础平面上
jccad_dj_autodlg	独基自动布置参数
jccad_dj_auto	将自动生成的独基布置在基础平面上
jccad_dj_double	在两个柱下自动生成一个独立基础
jccad_dj_multical	在多个柱下自动生成一个独立基础
jccad_dj_wall	在墙的某一节点下布置独立基础
jccad_dj_onefbeam	双柱基础梁式独立基础
jccad_dj_doufbeam	四柱双基础梁式独立基础
jccad_dj_meger	独基归并
jccad_dj_bookout_one	由用户单独选择某一独基生成它的计算书
jccad_dj_bookout_all	生成基础平面上所有独立基础的计算书
jccad_fbeam_app	在网格线上输入钢筋混凝土基础梁
jccad_fbeam_onewall	在网格线上输入单墙地梁
jccad_fbeam_doublewall	在网格线上输入双墙地梁
jccad_fbeam_edit_stretch	设置弹性地基梁挑出部分
jccad_fbeam_haunched	地基梁加腋
jccad_fbeam_del_haunched	删除地基梁加腋
jccad_fbeam_edit_stretch_no_raft	设置弹性地基梁无筏板情况下的挑出部分
jccad_fbeam_edit_delstretch	删除弹性地基梁挑出部分
jccad_raft_app	布置筏板或防水板
jccad_raft_app_thick	布置筏板加厚区部分
jccad_raft_app_thin	布置筏板减薄区
jccad_raft_app_hole	在筏板上开洞
jccad_raft_app_hjd	在筏板上布置后浇带
jccad_raft_addy	在墙，地基梁上布置筏板加腋
jccad_raft_dely	删除筏板加腋
jccad_raft_app_elevator	在筏板(防水板)上布置电梯井
jccad_raft_app_waterpit	在筏板(防水板)上布置集水坑
jccad_raft_app_waterpipe	在筏板(防水板)上布置排水沟
jccad_raft_edit_linkpt	连接筏板上的顶点
jccad_raft_edit_stretch	修正筏板边界上出现的不规则区域
jccad_raft_edit_parallel	筏板边线与网格线平行
jccad_raft_edit_region	切割或增补筏板
jccad_raft_del_hole	删除筏板中的洞口
jccad_raft_edit	筏板编辑
jccad_xiaohe_raft	计算并显示筏板重心
jccad_pile_sel	选择当前桩的类型
jccad_dais_app	将已定义的承台布置到基础平面
jccad_dais_auto_dlg	承台自动布置参数
jccad_dais_auto	在单柱下自动根据外荷载设计桩的根数、承台形状尺寸和配筋
jccad_dais_random	用直接绘制多边形方式生成承台
jccad_dais_round_random	根据围区内的桩布置形式自动生成承台
jccad_dais_unite	布置包含多根柱或包含柱墙的联合承台
jccad_dais_round	沿着已经布好的桩的外轮廓生成一个承台
jccad_dais_merge	承台归并
jccad_dais_parallel	通过与桩对齐修改承台边线
jccad_dais_bookout_one	由用户单独选择某一承台生成它的计算书
jccad_dais_bookout_all	生成基础平面上所有承台的计算书
jccad_pile_app	定义新桩、布置单桩到基础平面
jccad_pile_group	对话框定义一批桩并将其布置到基础平面
jccad_pile_beamdown	按照用户输入的桩间距、排距在两点间布桩
jccad_pile_raftdown	根据承载力要求自动布桩
jccad_import_pile	导入DWG中的桩,承台,筏板
jccad_import_ct	导入DWG中的桩,承台,筏板
jccad_pile_copy	复制平面上已有单桩或者群桩
jccad_pile_move	移动平面上已有单桩或者群桩
jccad_pile_mirror	镜像已有单桩或者群桩
jccad_calpilelen	根据地质资料和每根桩的单桩承载力计算出桩长
jccad_calpilelen_txt	显示桩长计算书
jccad_calpilenums	生成各节点所需桩的数量参考值
jccad_modifypilelen	修改或输入桩长
jccad_xiaohe_pile	给出用户选定桩群的重心
jccad_clear_tempobj	清理桩计算结果文字
jccad_modify_pile_peijin_para	修改桩配筋参数
jccad_delete_pile_peijin_para	删除桩配筋参数
jccad_tj_app	将已定义的条形基础布置在基础平面上
jccad_tj_autodlg	条形基础自动布置参数设置
jccad_tj_auto_app	自动布置单个条基
jccad_tj_auto_app_double	自动布置双墙下的条基
jccad_tj_auto_bookout_one	生成基础平面上单个条基的计算书
jccad_tj_auto_bookout_all	生成基础平面上所有条基的计算书
jccad_bookout_partdrang_col	柱对独基、承台、基础梁的局部承压计算
jccad_bookout_partdrang_pile	桩对承台的局部承压计算
jccad_zd_app	在筏板上布置柱墩
jccad_zd_auto	自动生成布置柱墩
jccad_ll_app	在柱间网格线上布置拉梁
jccad_pick_app	点取一个已经布置好的构件把它布置到其它位置
jccad_pick_modify	点取一个已经布置好的构件把它的属性设置到其它构件
jccad_upsidemodel_show	选择上部结构模型文件(*.yjk)，与基础模型一起显示
jccad_upsidemodel_hide	隐藏上部结构模型
jccad_del_obj	删除已布置的基础
jccad_modify_botelevate	将选择的基础统一设置为相对于结构±0的标高值
jccad_show_setting	设置当前视图显示的内容
jccad_FAQ	常见问题
jccad_verifydata	数据检查
jccad_calVolume	工程量统计
jccad_modifyproperty	统一修改地基承载力
jccad_auto_stretch	柱墙自动向下探伸
jccad_bookout_style	设置计算书文字格式
jccad_handwork_backup	手工备份
jccad_delete_backup	删除手工备份
jccad_grid2ps	连接节点形成网格,且不能和其它网格相交或重合
jccad_delgrid2ps	删除基础中增加的网格
jccad_modify_step1h	统一修改构件一阶高
jccad_modify_load	统一修改拉梁荷载
jccad_modify_eccentric	统一修改偏心距
jccad_modify_hinge	统一修改梁端铰接
jccad_modify_raftload	统一修改板面荷载
jccad_modify_soil_h	将选择的基础统一设置覆土厚度
jccad_clear_all	统一清理无用的构件定义
jccad_def_manager	构件定义管理
jccad_app_node	直接绘制节点
jccad_delnodegrid	删除节点与网格
jccad_line2p	点击两点形成直线段
jccad_line2ps	创建连续直线
jccad_formnode	把输入的轴线作相交计算形成网格和节点
jccad_cleargrid	清除本层平面上没有用到的网格和节点
jccad_stretchnewgrid	延伸网格形成新网格
jccad_import_ct_basept</Command>
        <!--<HelpString UID="XLS_0000">延伸网格形成新网格</HelpString>
        <HelpRef>基础帮助\基础建模帮助\18网格节点</HelpRef>-->
        <RcImage Name="RCDATA_701" />
      </MenuMacro>

      <MenuMacro UID="ID_JCCAD_IMPORT_PILE">
        <Command>jccad_import_ct_pile</Command>
        <!--<HelpString UID="XLS_0000">延伸网格形成新网格</HelpString>
        <HelpRef>基础帮助\基础建模帮助\18网格节点</HelpRef>-->
        <RcImage Name="RCDATA_655" />
      </MenuMacro>

      <MenuMacro UID="ID_JCCAD_IMPORT_DAIS">
        <Command>jccad_import_ct_dais</Command>
        <!--<HelpString UID="XLS_0000">延伸网格形成新网格</HelpString>
        <HelpRef>基础帮助\基础建模帮助\18网格节点</HelpRef>-->
        <RcImage Name="RCDATA_629" />
      </MenuMacro>

      <MenuMacro UID="ID_JCCAD_IMPORT_RAFT">
        <Command>jccad_import_ct_raft</Command>
        <!--<HelpString UID="XLS_0000">延伸网格形成新网格</HelpString>
        <HelpRef>基础帮助\基础建模帮助\18网格节点</HelpRef>-->
        <RcImage Name="RCDATA_244" />
      </MenuMacro>

      <MenuMacro UID="ID_JCCAD_IMPORT_DJ">
        <Command>jccad_import_ct_dj</Command>
        <!--<HelpString UID="XLS_0000">延伸网格形成新网格</HelpString>
        <HelpRef>基础帮助\基础建模帮助\18网格节点</HelpRef>-->
        <RcImage Name="RCDATA_626" />
      </MenuMacro>

      <MenuMacro UID="ID_JCCAD_IMPORT_ZD">
        <Command>jccad_import_ct_zd</Command>
        <!--<HelpString UID="XLS_0000">延伸网格形成新网格</HelpString>
        <HelpRef>基础帮助\基础建模帮助\18网格节点</HelpRef>-->
        <RcImage Name="RCDATA_242" />
      </MenuMacro>
      
      <MenuMacro UID="ID_JCCAD_IMPORT_UNDO">
        <Command>jccad_import_ct_undo</Command>
        <!--<HelpString UID="XLS_0000">延伸网格形成新网格</HelpString>
        <HelpRef>基础帮助\基础建模帮助\18网格节点</HelpRef>-->
        <RcImage Name="RCDATA_4" />
      </MenuMacro>

      <MenuMacro UID="ID_JCCAD_IMPORT_REDO">
        <Command>jccad_import_ct_redo</Command>
        <!--<HelpString UID="XLS_0000">延伸网格形成新网格</HelpString>
        <HelpRef>基础帮助\基础建模帮助\18网格节点</HelpRef>-->
        <RcImage Name="RCDATA_5" />
      </MenuMacro>
      
      <MenuMacro UID="ID_JCCAD_IMPORT_RETURN">
        <Command>jccad_import_ct_return</Command>
        <!--<HelpString UID="XLS_0000">延伸网格形成新网格</HelpString>
        <HelpRef>基础帮助\基础建模帮助\18网格节点</HelpRef>-->
        <RcImage Name="RCDATA_284" /><!---->
      </MenuMacro>
      
      
      <!--基础建模完-->

      <MenuMacro UID="ID_BaseDraw_searchmember">
        <Command>BaseDraw_SearchMember	输入编号，在图中搜索各类构件
BaseDraw_SaveDwyMulti	批量保存yjk图文件(*.dwy)，批量转成AutoCAD图文件(*.dwg)
BaseDraw_SaveDwy	保存当前图：YJK文件格式(*.dwy)或AutoCAD文件格式(*.dwg)
BaseDraw_DrawOption	设置当前视图的显示内容
BaseDraw_LayerOption	隐藏/显示图层
BaseDraw_FAQ	常见问题
BaseDraw_SaveDwgCustom	一键提取计算书
BaseDraw_BaseCalOption	设置基础计算参数
BaseDraw_BaseGenData	接力建模，生成计算数据
BaseDraw_BaseAnalysis	基础计算、分析
BaseDraw_BaseAnalysis_Option	自定义计算项目
BaseDraw_DrawBaseModel	显示基础计算简图
BaseDraw_DrawBaseFea	显示基础网格划分图
BaseDraw_DrawPlateThick	查询、修改单元厚度
BaseDraw_DrawRfGrade	查询、修改人防等级
BaseDraw_DrawRebarAngle	查询、修改配筋方向
BaseDraw_DrawBaseFea3D	显示基础实体网格划分图
BaseDraw_DrawFM	显示有限元计算模型（需先完成计算）
BaseDraw_DrawSoilK	查询、修改地基土的基床反力系数K
BaseDraw_DrawPileK	查询、修改桩刚度
BaseDraw_DrawUpsideLoad	显示上部结构的荷载
BaseDraw_DrawAdditionLoad	显示附加荷载
BaseDraw_DrawPlateLoad	显示板面恒活荷载
BaseDraw_DrawPlateLoadCustom	显示自定义工况板面荷载
BaseDraw_DrawSoilGLoad	显示、修改各类基础的覆土重
BaseDraw_DrawBaseGLoad	显示各类基础的自重
BaseDraw_DrawSoilR	显示标准组合下的基底压力图
BaseDraw_DrawPileR	显示标准组合下的桩反力
BaseDraw_DrawPileH	显示标准组合下的桩顶水平力
BaseDraw_DrawDijiCap	显示地基土和桩的承载力验算结果
BaseDraw_DrawMoment	显示基本组合下各类基础的弯矩
BaseDraw_DrawShear	显示基本组合下各类基础的剪力
BaseDraw_DrawMomentMaxMin	显示基本组合下各类基础的弯矩包络
BaseDraw_DrawShearMaxMin	显示基本组合下各类基础的剪力包络
BaseDraw_DrawSlabMx	显示基本组合下板Mx弯矩
BaseDraw_DrawSlabMy	显示基本组合下板My弯矩
BaseDraw_DrawSlabQx	显示基本组合下板Qx剪力
BaseDraw_DrawSlabQy	显示基本组合下板Qy剪力
