exportIFC_USDToIFC	导出IFC
y2dSpre_SPECPB_WC	
y2dSpre_SPECPB_DELFLR	
y2dSpre_SPECPB_DELALL	
y2dSpre_SPECPLVL_BE	
y2dSpre_SPECPLVL_CL	
y2dSpre_SPECPLVL_BR	
y2dSpre_SPECPLVL_WB	
y2dSpre_SPECPLVL_WC	
y2dSpre_SPECPLVL_DELFLR	
y2dSpre_SPECPLVL_DELALL	
y2dSpre_SPECISOBUTTRESS_CL	
y2dSpre_SPECISOBUTTRESS_BE	
y2dSpre_SPECISOTYPE_BE	
y2dSpre_SPECISOTYPE_CL	
y2dSpre_SPECISOTYPE_BR	
y2dSpre_SPECISOTYPE_WB	
y2dSpre_SPECISOTYPE_WC	
y2dSpre_SPECISOTYPE_DELFLR	
y2dSpre_SPECISOTYPE_DELALL	
y2dSpre_SPECISOENV_BE	
y2dSpre_SPECISOENV_CL	
y2dSpre_SPECISOENV_BR	
y2dSpre_SPECISOENV_WB	
y2dSpre_SPECISOENV_WC	
y2dSpre_SPECISOENV_DELFLR	
y2dSpre_SPECISOENV_DELALL	
y2dSpre_SPECSTPB_HAONENG	
y2dSpre_SPECSTPB_KHB	
y2dSpre_SPECSTPB_YANXING	
y2dSpre_SPECSTPB_BETAE	
y2dSpre_SPECAD_ALL	
y2dSpre_SPECAD_BE	
y2dSpre_SPECAD_CL	
y2dSpre_SPECAD_BR	
y2dSpre_SPECAD_WA	
y2dSpre_SPECAD_SB	
y2dSpre_SPECAD_DELFLR	
y2dSpre_SPECAD_DELALL	
y2dSpre_SPECGAMA0_BE	
y2dSpre_SPECGAMA0_CL	
y2dSpre_SPECGAMA0_BR	
y2dSpre_SPECGAMA0_WC	
y2dSpre_SPECGAMA0_WB	
y2dSpre_SPECGAMA0_DELFLR	
y2dSpre_SPECGAMA0_DELALL	
y2dSpre_SPECCPXS_BE	
y2dSpre_SPECCPXS_CL	
y2dSpre_SPECCPXS_BR	
y2dSpre_SPECCPXS_WC	
y2dSpre_SPECCPXS_WB	
y2dSpre_SPECCPXS_DELFLR	
y2dSpre_SPECCPXS_DELALL	
y2dSpre_SPECDEL_CUSTOMDEL	
y2dSpre_SPECDEL_FLR	
y2dSpre_SPECDEL_ALL	
y2dSpre_SPECDEL_FLRBE	
y2dSpre_SPECDEL_ALLBE	
y2dSpre_SPECDEL_FLRCL	
y2dSpre_SPECDEL_ALLCL	
y2dSpre_SPECDEL_FLRBR	
y2dSpre_SPECDEL_ALLBR	
y2dSpre_SPECDEL_FLRWA	
y2dSpre_SPECDEL_ALLWA	
y2dSpre_SPECDEL_FLRSB	
y2dSpre_SPECDEL_ALLSB	
y2dSpre_SPECDEL_FLRJD	
y2dSpre_SPECDEL_ALLJD	
y2dSpre_SPEC_FLOORCOPY	
y2dSpre_TOWER_PLAN	用平面图方式显示多塔划分情况
y2dSpre_TOWER_AUTO	根据计算参数自动划分多塔
y2dSpre_TOWER_INPUTAREA	人工逐层划分多塔
y2dSpre_TOWER_CLEAR	将多塔和楼层属性菜单中的所有交互指定数据清空
y2dSpre_TOWER_ADDAREA	在某一楼层上用围区作塔号合并的操作
y2dSpre_TOWER_CUTAREA	
y2dSpre_TOWER_ZHEDANG	指定设缝多塔结构的背风面
y2dSpre_TOWER_CLEARSHADE	删除本层或全楼的遮挡定义数据
y2dSpre_TOWER_CHECK	
y2dSpre_TOWER_ELEV	用圆圈串方式显示多塔划分状况
y2dSpre_TOWER_TOWNO	对某些层修改自动划分形成的塔号
y2dSpre_TOWER_TOWH	修改各层各塔的塔高
y2dSpre_TOWER_INPUTSPLITAREA	修改多塔取大时单塔模型在某层的拆分范围
y2dSpre_TOWER_DELSPLITAREA	删除多塔取大时单塔模型在某层的拆分范围
y2dSpre_TOWER_PICKAFRAME	选取需要单榀二维计算的轴线
y2dSpre_TOWER_DELAFRAME	删除输入的单榀计算轴线
y2dSpre_TOWER_3D	用层拉伸体组成的三维模型显示多塔划分结果及楼层各种属性
y2dSpre_TOWER_PARA	对各塔设置不同的结构属性
y2dSpre_TOWER_TOWMAT	
y2dSpre_TOWER_TOWJQ	交互指定加强层
y2dSpre_TOWER_TOWDBJQ	交互指定底部加强区
y2dSpre_TOWER_TOWYBZ	交互指定需设置约束边缘构件的楼层
